12,1,up,-20.011955264016574
12,1,left,-18.242339789919217
11,1,down,-18.162606637049567
11,2,up,-15.074472216240473
11,1,left,-18.24013793232143
10,1,left,-21.848581432373532
10,1,up,-20.390756591111217
10,1,right,-15.072172364471092
11,1,up,-19.316548914159206
11,1,right,-18.288747246318323
12,1,down,-21.67655256108711
12,1,right,-19.271122461077944
13,1,up,-21.28798317791027
13,1,left,-18.353404336305378
11,2,left,-18.51809217290074
11,2,right,-13.916642389708187
12,2,up,-17.915546814045168
12,2,left,-14.522459688372454
11,2,down,-18.51840852164429
10,1,down,-18.493851750443582
10,2,left,-20.598431713145978
10,2,right,-21.823805199030815
10,2,down,-18.534318399256335
10,3,left,-20.62695030361558
10,3,down,-18.631707999511917
10,4,up,-16.52801383618163
10,3,up,-16.03281599468218
10,2,up,-15.567374154986085
10,3,right,-21.03835808718874
10,4,right,-22.165055988048103
10,4,down,-18.75549067150348
10,5,down,-19.41229963595953
10,6,right,-19.688466561139194
11,6,down,-19.663290342105817
11,7,left,-19.661293097951443
10,7,right,-19.672382142479982
11,7,right,-22.86295873067119
11,7,up,-19.666706752706048
11,6,right,-23.17142624802216
11,6,up,-19.684625681504983
11,5,down,-19.692194838741102
11,6,left,-19.352402484852906
10,6,left,-23.31326867722649
10,6,down,-21.669628272643983
10,6,up,-19.372735572764192
10,5,right,-22.02178563285863
10,5,up,-18.76778239870943
10,4,left,-18.75762479160948
9,4,down,-22.391349932793123
9,4,left,-18.874035790148767
8,4,left,-18.94137553029611
7,4,down,-21.75343085336255
7,4,left,-19.113632228798785
6,4,right,-17.9694101367593
7,4,up,-19.072322564857224
7,3,right,-19.599468411507633
8,3,left,-18.882191087775762
7,3,down,-19.02060547203017
7,4,right,-18.083894268467905
8,4,down,-22.88065156062676
8,4,right,-17.756495863993457
9,4,up,-22.766826617595726
9,4,right,-17.127640772426098
13,1,right,-22.522054247340744
13,1,down,-19.537786006701392
13,2,right,-22.31062935230376
13,2,left,-22.99996021692931
13,2,up,-19.548316250494093
13,2,down,-19.541406984415747
13,3,left,-23.138139300939777
13,3,down,-22.862750836271623
13,3,up,-19.54850260322015
13,3,right,-19.53838053203884
14,3,up,-21.52364270575633
14,3,left,-19.550322608824516
14,3,right,-19.534363234289003
15,3,right,-19.53825434491403
16,3,up,-22.479659899420227
16,3,left,-19.542683055560936
15,3,down,-21.271702618029288
15,3,up,-21.51001579981859
16,3,down,-22.190120778807106
16,3,right,-19.513680116768036
17,3,down,-19.511667081005672
17,4,down,-19.51528587781071
17,5,right,-22.75852798975704
17,5,up,-19.521926384762036
17,4,left,-22.248901489922034
17,4,right,-21.358145129649433
